code,Name,yield_basis,effective_yield,non_cut_years_verified,coverage_years,fcf_payout_3y,drop_reason_core,data_quality_flags,manual_check_reason,div_source_used,high_yield_risk,yield_split_mismatch,is_financial,core_pass,in_holdings
44410,トビラシステムズ,dps_fallback,0.015268817204301,True,6,0.2650375939849624,A_non_cut_years; E_div_yield; F_value_pass,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
58300,いよぎんホールディングス,dps_fallback,0.0152516522623284,False,3,,data_missing:div_history; fin_sector_excluded_from_core; E_div_yield; fin:data_missing:div_history; fin:E_div_yield; data_missing:fcf_payout,div_history_short,yield_total_fallback_dps,yf,False,False,True,False,False
98240,泉州電業,dps_fallback,0.0241545893719806,True,10,0.431169061557566,E_div_yield,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
76380,ＮＥＷ　ＡＲＴ　ＨＯＬＤＩＮＧＳ,dps_fallback,0.0062774639045825,True,9,0.9564971751412428,A_non_cut_years; D_fcf_payout; E_div_yield,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
50130,ユシロ,dps_fallback,0.0328528327187395,True,10,0.2715018489800787,A_non_cut_years,,yield_total_fallback_dps,yf,False,False,False,False,False
62100,ＴＯＹＯイノベックス,dps_fallback,0.0522388059701492,True,10,,B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; data_missing:fcf_payout,,yield_total_fallback_dps; yf_source_high_yield,yf,False,False,False,False,False
71570,ライフネット生命保険,dps_fallback,0.0,False,2,0.0,data_missing:div_history; fin_sector_excluded_from_core; E_div_yield; F_value_pass; fin:data_missing:div_history; fin:E_div_yield; fin:F_value_pass,div_history_short,yield_total_fallback_dps,jquants,False,False,True,False,False
68630,ニレコ,dps_fallback,0.0426774483378257,True,10,0.7774072530220926,A_non_cut_years; D_fcf_payout,,yield_total_fallback_dps,yf,False,False,False,False,False
44990,Ｓｐｅｅｅ,dps_fallback,0.0,False,2,,data_missing:div_history; B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass; data_missing:fcf_payout,div_history_short,yield_total_fallback_dps,jquants,False,False,False,False,False
90750,福山通運,dps_fallback,0.0127272727272727,True,10,,A_non_cut_years; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; data_missing:fcf_payout,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
69860,双葉電子工業,dps_fallback,0.0146842878120411,True,10,0.0940758819613933,A_non_cut_years; E_div_yield,,yield_total_fallback_dps,yf,False,False,False,False,False
13330,マルハニチロ,dps_fallback,0.0763623741756334,True,10,0.1326713362776262,OK,div_split_adjusted,high_yield_risk; yield_total_fallback_dps; yf_source_high_yield,yf,True,False,False,True,False
70400,サン・ライフホールディング,dps_fallback,0.0304428044280442,True,7,0.1872103799814643,OK,,yield_total_fallback_dps,yf,False,False,False,True,False
68060,ヒロセ電機,dps_fallback,0.0228384991843393,True,10,0.7939471504931115,A_non_cut_years; D_fcf_payout; E_div_yield; F_value_pass,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
51840,ニチリン,dps_fallback,0.042358604091456,True,10,0.4842000221754075,OK,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,True,False
74630,アドヴァングループ,dps_fallback,0.0432432432432432,True,10,0.9362808842652796,A_non_cut_years; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
72840,盟和産業,dps_fallback,0.0418410041841004,True,10,2.304635761589404,C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
80980,稲畑産業,dps_fallback,0.0316055625790139,True,10,0.3541066848139035,A_non_cut_years,,yield_total_fallback_dps,yf,False,False,False,False,True
49770,新田ゼラチン,dps_fallback,0.0187828700225394,True,10,0.1261872455902306,E_div_yield,,yield_total_fallback_dps,yf,False,False,False,False,False
40430,トクヤマ,dps_fallback,0.0259470679813181,True,10,0.2388194354942647,E_div_yield,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
94350,光通信,dps_fallback,0.0155346650998824,True,10,1.6153824474381375,C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; F_value_pass,,yield_total_fallback_dps,yf,False,False,False,False,False
24040,鉄人化ホールディングス,dps_fallback,0.0,True,9,0.0,A_non_cut_years; E_div_yield,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
78590,アルメディオ,dps_fallback,0.0,True,10,0.0,A_non_cut_years; E_div_yield,,yield_total_fallback_dps,yf,False,False,False,False,False
97800,ハリマビステム,dps_fallback,0.0269430051813471,True,10,0.3251748251748251,A_non_cut_years; E_div_yield,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
81470,トミタ,dps_fallback,0.0164670658682634,True,10,,A_non_cut_years; B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_payout; D_fcf_hard_fail; E_div_yield; data_missing:fcf_payout,,yield_total_fallback_dps,yf,False,False,False,False,False
39640,オークネット,dps_fallback,0.0300751879699248,True,9,0.5117850667545739,A_non_cut_years,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
72800,ミツバ,dps_fallback,0.0079936051159072,True,10,0.0106067349058003,A_non_cut_years; E_div_yield,,yield_total_fallback_dps,yf,False,False,False,False,False
95170,イーレックス,dps_fallback,0.0133495145631067,True,10,0.0614525139664804,A_non_cut_years; B_cfo_pos_ratio; C_fcf_pos_ratio; D_fcf_hard_fail; E_div_yield,div_split_adjusted,yield_total_fallback_dps,yf,False,False,False,False,False
